id,foreigner,x,y,crs
1,0,4607500,3336500,4326
2,1,4274500,3328500,4326
3,0,4181500,3139500,4326
4,1,4275500,3333500,4326
5,1,4272500,2846500,4326
6,0,4519500,3350500,4326
7,0,4228500,3253500,4326
8,0,4418500,2920500,4326
9,0,4416500,2809500,4326
10,1,4574500,2833500,4326
11,0,4191500,2967500,4326
12,0,4241500,3233500,4326
13,0,4187500,3340500,4326
14,0,4291500,3038500,4326
15,1,4436500,2786500,4326
16,1,4520500,3426500,4326
17,0,4188500,2866500,4326
18,0,4135500,2914500,4326
19,1,4223500,2974500,4326
20,0,4231500,2945500,4326
21,0,4545500,3168500,4326
22,0,4434500,3086500,4326
23,0,4315500,3393500,4326
24,0,4642500,3164500,4326
25,0,4214500,2802500,4326
26,0,4246500,3001500,4326
27,1,4195500,2890500,4326
28,0,4443500,2788500,4326
29,0,4431500,3221500,4326
30,1,4402500,2944500,4326
31,0,4325500,3277500,4326
32,0,4157500,2932500,4326
33,0,4527500,3276500,4326
34,0,4148500,3091500,4326
35,0,4456500,3451500,4326
36,1,4396500,2925500,4326
37,0,4532500,3253500,4326
38,0,4189500,2926500,4326
39,0,4107500,3153500,4326
40,0,4532500,3253500,4326
41,0,4215500,2913500,4326
42,0,4444500,2763500,4326
43,0,4116500,3072500,4326
44,0,4379500,2910500,4326
45,0,4557500,2815500,4326
46,0,4405500,2936500,4326
47,1,4307500,3262500,4326
48,0,4248500,2964500,4326
49,0,4179500,3083500,4326
50,0,4589500,3257500,4326
51,0,4206500,3077500,4326
52,0,4274500,2862500,4326
53,0,4196500,2857500,4326
54,0,4379500,3261500,4326
55,0,4234500,2994500,4326
56,0,4452500,2728500,4326
57,1,4399500,2928500,4326
58,0,4190500,3012500,4326
59,1,4187500,3090500,4326
60,0,4283500,3014500,4326
61,1,4131500,3224500,4326
62,0,4418500,3160500,4326
63,0,4646500,3105500,4326
64,1,4224500,2934500,4326
65,0,4508500,3249500,4326
66,0,4555500,3272500,4326
67,0,4419500,3162500,4326
68,0,4477500,3124500,4326
69,1,4219500,2978500,4326
70,0,4435500,2775500,4326
71,0,4094500,3127500,4326
72,1,4201500,3334500,4326
73,1,4063500,3153500,4326
74,0,4407500,2865500,4326
75,0,4140500,3271500,4326
76,0,4524500,3259500,4326
77,1,4304500,3254500,4326
78,0,4340500,3240500,4326
79,1,4555500,2867500,4326
80,0,4092500,3081500,4326
81,0,4188500,2899500,4326
82,0,4229500,3409500,4326
83,0,4147500,3158500,4326
84,0,4193500,3245500,4326
85,1,4437500,2780500,4326
86,0,4137500,2998500,4326
87,0,4584500,3281500,4326
88,0,4453500,3155500,4326
89,0,4272500,2853500,4326
90,0,4475500,3061500,4326
91,1,4370500,3256500,4326
92,0,4073500,3083500,4326
93,0,4496500,2988500,4326
94,0,4280500,3031500,4326
95,1,4250500,2732500,4326
96,0,4098500,2998500,4326
97,0,4335500,3381500,4326
98,0,4116500,3052500,4326
99,0,4341500,2838500,4326
100,0,4307500,3261500,4326
101,0,4415500,2842500,4326
102,1,4143500,3158500,4326
103,0,4237500,3229500,4326
104,0,4096500,2981500,4326
105,0,4205500,2892500,4326
106,1,4122500,3177500,4326
107,0,4218500,2997500,4326
108,1,4453500,3210500,4326
109,0,4188500,2927500,4326
110,0,4182500,2833500,4326
111,0,4515500,3086500,4326
112,0,4370500,2797500,4326
113,0,4137500,3168500,4326
114,0,4283500,3034500,4326
115,0,4529500,3095500,4326
116,1,4116500,3124500,4326
117,0,4537500,3224500,4326
118,1,4432500,2823500,4326
119,0,4228500,2933500,4326
120,0,4204500,3272500,4326
121,0,4597500,3122500,4326
122,0,4116500,2918500,4326
123,0,4182500,3233500,4326
