age,female,citizenship,income,rent_avg,x,y
51,1,0,2500-3000 €,6.21,4294500,3306500
36,0,1,1000-1500 €,5.445,4119500,3159500
47,1,1,1500-2000 €,5.35,4132500,3169500
51,0,0,2000-2500 €,9.46,4319500,3397500
46,0,1,> 5000 €,6.81,4582500,3264500
45,1,1,4000-4500 €,5.695,4225500,3231500
53,1,1,2500-3000 €,6.355,4127500,3052500
38,0,1,3500-4000 €,4.22,4204500,3272500
33,1,1,NA,4.87,4619500,3140500
43,1,1,3500-4000 €,7.390000000000001,4302500,2840500
49,0,1,2500-3000 €,8.99,4097500,3124500
53,1,1,1000-1500 €,8.095,4219500,2997500
41,0,1,3500-4000 €,5.2,4224500,3236500
40,0,1,1500-2000 €,6.83,4053500,3193500
41,1,0,3000-3500 €,4.85,4282500,3427500
49,0,1,4500-5000 €,9.68,4425500,2823500
46,1,1,3000-3500 €,5.22,4239500,3056500
40,1,1,3000-3500 €,4.98,4461500,3303500
35,1,0,2000-2500 €,6.125,4229500,3206500
52,0,1,2500-3000 €,7.154999999999999,4299500,3404500
40,0,1,3500-4000 €,5.904999999999999,4585500,3125500
37,0,0,1500-2000 €,4.82,4364500,3044500
39,0,0,1000-1500 €,8.370000000000001,4239500,3329500
62,0,1,4000-4500 €,4.970000000000001,4419500,3162500
55,0,1,2000-2500 €,8.28,4330500,3387500
43,0,1,> 5000 €,8.22,4268500,2873500
45,0,1,1000-1500 €,4.955,4130500,3123500
30,0,1,> 5000 €,4.65,4200500,3267500
49,1,1,1500-2000 €,5.6850000000000005,4145500,3178500
49,1,1,4000-4500 €,6.035,4424500,3171500
55,0,1,3000-3500 €,5.455,4284500,3409500
41,0,1,< 1000 €,7.574999999999999,4548500,3276500
52,0,1,2500-3000 €,5.65,4297500,3237500
41,0,1,2000-2500 €,6.575,4232500,3047500
53,1,0,4500-5000 €,4.880000000000001,4140500,3052500
37,1,1,< 1000 €,7.64,4566500,3265500
42,0,1,< 1000 €,4.720000000000001,4486500,3341500
41,1,1,1000-1500 €,6.33,4149500,3159500
26,1,1,< 1000 €,6.595000000000001,4486500,3136500
51,1,1,2000-2500 €,4.5600000000000005,4552500,3086500
47,1,1,2000-2500 €,6.87,4302500,3245500
43,1,1,4000-4500 €,4.824999999999999,4229500,3242500
48,1,1,< 1000 €,7.685,4556500,3277500
38,1,1,2500-3000 €,6.59,4446500,2895500
38,1,1,2500-3000 €,6.154999999999999,4389500,2980500
41,1,1,> 5000 €,8.315,4522500,3261500
40,1,1,2500-3000 €,7.58,4405500,2936500
57,1,1,2000-2500 €,5.675,4139500,3144500
48,1,1,< 1000 €,4.98,4524500,3080500
60,0,1,< 1000 €,4.715,4617500,3156500
45,1,0,4000-4500 €,9.08,4163500,2774500
42,1,1,1000-1500 €,7.94,4546500,3262500
54,0,1,> 5000 €,6.855,4250500,3530500
45,1,0,2000-2500 €,9.555,4574500,2833500
47,0,1,3000-3500 €,5.4350000000000005,4517500,2798500
45,1,1,< 1000 €,5.21,4521500,3081500
45,1,1,1500-2000 €,5.255,4171500,3125500
48,0,1,3500-4000 €,5.14,4367500,3126500
26,0,0,2500-3000 €,3.91,4468500,3346500
45,1,1,3000-3500 €,6.21,4260500,2974500
39,0,1,< 1000 €,7.8999999999999995,4327500,3381500
46,1,1,3500-4000 €,7.57,4251500,2991500
48,1,1,> 5000 €,9.075,4332500,3381500
52,1,1,2000-2500 €,6.24,4291500,3254500
44,0,1,3500-4000 €,5.63,4450500,3443500
52,1,0,1000-1500 €,6.695,4363500,3416500
49,0,1,4500-5000 €,4.445,4200500,3094500
47,0,1,2500-3000 €,9.469999999999999,4265500,2855500
54,0,1,4000-4500 €,6.08,4344500,3229500
43,1,0,2000-2500 €,8.645,4207500,2988500
40,0,1,3500-4000 €,5.91,4352500,2830500
45,0,1,2000-2500 €,5.62,4525500,3088500
45,0,1,2500-3000 €,5.785,4131500,3224500
39,1,1,4000-4500 €,6.225,4230500,2782500
48,1,1,> 5000 €,7.455,4188500,2927500
44,1,1,< 1000 €,6.215,4298500,3250500
47,1,1,< 1000 €,5.8,4537500,3224500
46,0,1,< 1000 €,6.59,4535500,3276500
34,1,1,> 5000 €,8.22,4202500,2728500
45,1,1,4000-4500 €,5.945,4065500,3131500
52,1,1,4000-4500 €,7.075,4409500,3099500
47,0,1,3500-4000 €,4.279999999999999,4149500,3076500
50,1,0,3500-4000 €,7.295,4360500,3449500
38,0,1,1500-2000 €,7.73,4201500,2902500
43,1,1,4000-4500 €,7.53,4412500,2807500
49,1,1,2000-2500 €,7.265,4546500,2728500
49,0,1,> 5000 €,6.68,4274500,3327500
41,0,1,1500-2000 €,6.390000000000001,4458500,2867500
51,0,1,4000-4500 €,6.51,4379500,2953500
50,1,1,3000-3500 €,3.08,4460500,2993500
54,1,1,4500-5000 €,14.91,4435500,2775500
45,0,1,1500-2000 €,7.165,4433500,3094500
45,1,1,< 1000 €,7.609999999999999,4320500,3370500
51,0,1,1000-1500 €,7.685,4556500,3277500
46,1,1,1500-2000 €,5.285,4464500,3208500
40,1,1,3000-3500 €,5.62,4126500,3032500
43,0,1,3500-4000 €,9.32,4299500,2716500
38,1,1,3000-3500 €,6.675000000000001,4122500,3129500
44,1,1,4500-5000 €,7.385,4322500,2800500
47,1,1,4000-4500 €,8.265,4206500,2989500
57,0,1,4500-5000 €,3.23,4328500,3200500
46,1,0,> 5000 €,15.46,4436500,2786500
41,1,0,2000-2500 €,5.3149999999999995,4581500,2861500
45,0,1,2500-3000 €,6.18,4189500,2899500
41,1,1,2500-3000 €,4.62,4330500,3193500
47,0,1,3500-4000 €,5.99,4148500,3222500
35,0,1,1000-1500 €,7.57,4538500,3275500
38,0,1,3000-3500 €,7.945,4130500,3076500
43,1,1,2500-3000 €,10.254999999999999,4422500,2851500
47,1,1,3000-3500 €,6.415,4279500,3332500
54,0,1,< 1000 €,4.635,4617500,3155500
40,1,1,< 1000 €,7.335,4549500,3278500
46,1,1,3000-3500 €,4.69,4469500,3254500
43,0,1,< 1000 €,6.895,4209500,3200500
43,0,1,1000-1500 €,4.92,4499500,3119500
39,1,0,2000-2500 €,8.515,4426500,2852500
46,0,1,2000-2500 €,5.85,4135500,3124500
55,0,1,3500-4000 €,5.904999999999999,4585500,3125500
43,0,1,3500-4000 €,4.175,4477500,3355500
36,1,1,1500-2000 €,7.895,4158500,2769500
35,0,1,2000-2500 €,5.449999999999999,4187500,3340500
37,1,1,2500-3000 €,7.49,4201500,3341500
44,1,1,3000-3500 €,7.465,4519500,2740500
41,1,1,3000-3500 €,4.52,4158500,3022500
40,1,1,4500-5000 €,6.99,4337500,2743500
39,0,1,4500-5000 €,7.83,4473500,2791500
49,1,1,< 1000 €,4.390000000000001,4522500,3069500
36,1,1,4000-4500 €,6.855,4250500,3530500
32,1,1,< 1000 €,7.630000000000001,4557500,3272500
49,0,1,4000-4500 €,8.105,4312500,3390500
49,0,0,1000-1500 €,6.695,4363500,3416500
39,0,0,4500-5000 €,7.015,4171500,3342500
41,0,1,1500-2000 €,5.585,4136500,3165500
54,0,1,4500-5000 €,9.38,4452500,2728500
62,1,1,4000-4500 €,2.95,4533500,3212500
42,0,1,1500-2000 €,5.395,4578500,3093500
40,0,1,1500-2000 €,8.1,4547500,3273500
53,0,1,> 5000 €,6.3,4578500,3119500
34,0,0,< 1000 €,8.34,4045500,3081500
45,1,1,1000-1500 €,5.19,4374500,3159500
56,1,1,4500-5000 €,5.59,4589500,3257500
38,1,1,3000-3500 €,6.665,4474500,2900500
43,1,1,1000-1500 €,5.74,4129500,3123500
44,1,1,3000-3500 €,9.145,4250500,2734500
39,0,1,1500-2000 €,7.765000000000001,4311500,3387500
54,1,1,2500-3000 €,4.85,4353500,3468500
43,1,1,1500-2000 €,7.16,4318500,2958500
42,1,0,4000-4500 €,5.475,4346500,2861500
47,1,1,4500-5000 €,5.885,4171500,3387500
38,0,0,4500-5000 €,8.325,4231500,2972500
41,0,1,2000-2500 €,5.225,4165500,3177500
42,1,0,1000-1500 €,5.4,4434500,3066500
48,1,1,4000-4500 €,6.855,4072500,2957500
45,1,1,2500-3000 €,5.4,4209500,3223500
43,1,1,> 5000 €,5.02,4589500,3124500
37,1,1,1500-2000 €,6.005000000000001,4061500,3199500
47,0,0,2500-3000 €,5.725,4209500,3092500
40,1,1,3500-4000 €,8.49,4530500,3277500
43,1,1,4000-4500 €,5.64,4553500,2826500
58,1,0,< 1000 €,4.8,4642500,3164500
45,1,1,3000-3500 €,5.085,4231500,3241500
41,1,1,3000-3500 €,5.26,4587500,2845500
43,0,1,4000-4500 €,5.94,4109500,3230500
41,1,1,4000-4500 €,11.625,4445500,2772500
38,1,1,< 1000 €,8.71,4263500,2853500
49,0,1,> 5000 €,6.32,4188500,2866500
38,0,1,2000-2500 €,5.1,4228500,3249500
55,1,1,> 5000 €,5.37,4583500,3258500
48,1,0,1000-1500 €,6.949999999999999,4590500,3112500
46,1,1,1500-2000 €,8.64,4398500,2928500
37,0,0,1500-2000 €,6.91,4310500,3247500
49,1,1,3000-3500 €,7.885,4155500,2751500
38,0,0,1000-1500 €,6.55,4511500,3315500
47,0,1,> 5000 €,8.76,4474500,2790500
45,0,1,2000-2500 €,5.745,4193500,3286500
41,0,1,1500-2000 €,10.344999999999999,4194500,2998500
38,1,1,4000-4500 €,9.17,4310500,3391500
46,0,0,2500-3000 €,6.725,4234500,3338500
50,0,1,< 1000 €,6.725,4585500,3109500
46,0,1,< 1000 €,5.865,4435500,3086500
46,0,1,3000-3500 €,7.305,4387500,2794500
40,1,1,3000-3500 €,5.805,4179500,3083500
45,0,1,3000-3500 €,6.105,4194500,3285500
60,1,1,1000-1500 €,7.535,4402500,2926500
46,0,1,3000-3500 €,4.78,4477500,3332500
30,1,1,3000-3500 €,5.32,4358500,3424500
48,1,1,< 1000 €,6.845,4373500,3256500
47,0,1,2500-3000 €,5.62,4126500,3032500
39,0,1,2500-3000 €,6.07,4229500,3409500
34,0,0,1500-2000 €,6.755000000000001,4308500,2834500
45,1,1,4500-5000 €,7.6450000000000005,4250500,2992500
42,1,1,4000-4500 €,7.265000000000001,4460500,2867500
44,0,1,4500-5000 €,8.530000000000001,4275500,2839500
40,0,1,3500-4000 €,5.02,4522500,2820500
37,0,1,1000-1500 €,5.18,4167500,3178500
49,1,1,2000-2500 €,4.915,4584500,3255500
43,1,1,3000-3500 €,9.985,4313500,3384500
60,0,1,3000-3500 €,5.09,4467500,3171500
48,1,1,3500-4000 €,5.57,4140500,3022500
54,1,1,4000-4500 €,3.68,4538500,3351500
39,1,1,2000-2500 €,4.615,4275500,3110500
52,0,1,1000-1500 €,5.345000000000001,4564500,3421500
52,0,1,1500-2000 €,5.19,4140500,3023500
55,1,1,1000-1500 €,5.515,4258500,3233500
41,1,0,2500-3000 €,8.695,4141500,2723500
42,0,1,3500-4000 €,4.66,4158500,3011500
41,1,0,2000-2500 €,7.359999999999999,4149500,3028500
36,1,1,1500-2000 €,10.265,4315500,3382500
48,1,1,< 1000 €,4.460000000000001,4432500,3141500
42,1,0,3500-4000 €,9.844999999999999,4247500,2844500
39,1,0,< 1000 €,6.865,4549500,3263500
51,1,0,1000-1500 €,5.9350000000000005,4248500,2964500
46,1,0,4500-5000 €,6.005000000000001,4129500,3215500
42,0,1,< 1000 €,8.45,4397500,2928500
43,1,0,1000-1500 €,7.83,4398500,2924500
40,0,0,1000-1500 €,7.890000000000001,4099500,3122500
